CL	CL_plane	Name_identical	Related	Merged	Naked_merged
MOGGCCM_CCLE	MOGGCCM	MOGGCCM_CCLE,MOG-G-CCM_COSMIC		MOGGCCM_CCLE,MOG-G-CCM_COSMIC	MOGGCCM
MOG-G-CCM_COSMIC	MOGGCCM	MOGGCCM_CCLE,MOG-G-CCM_COSMIC		MOGGCCM_CCLE,MOG-G-CCM_COSMIC	MOGGCCM
MOGGUVW_CCLE	MOGGUVW	MOGGUVW_CCLE,MOG-G-UVW_COSMIC		MOGGUVW_CCLE,MOG-G-UVW_COSMIC	MOGGUVW
MOG-G-UVW_COSMIC	MOGGUVW	MOGGUVW_CCLE,MOG-G-UVW_COSMIC		MOGGUVW_CCLE,MOG-G-UVW_COSMIC	MOGGUVW
MOLM13_CCLE	MOLM13	MOLM13_CCLE,MOLM-13_COSMIC,MOLM-13_GDC		MOLM13_CCLE,MOLM-13_COSMIC,MOLM-13_GDC	MOLM13
MOLM-13_COSMIC	MOLM13	MOLM13_CCLE,MOLM-13_COSMIC,MOLM-13_GDC		MOLM13_CCLE,MOLM-13_COSMIC,MOLM-13_GDC	MOLM13
MOLM-13_GDC	MOLM13	MOLM13_CCLE,MOLM-13_COSMIC,MOLM-13_GDC		MOLM13_CCLE,MOLM-13_COSMIC,MOLM-13_GDC	MOLM13
MOLM16_CCLE	MOLM16	MOLM16_CCLE,MOLM-16_COSMIC,MOLM-16_EGA,MOLM-16_GDC		MOLM16_CCLE,MOLM-16_COSMIC,MOLM-16_EGA,MOLM-16_GDC	MOLM16
MOLM-16_COSMIC	MOLM16	MOLM16_CCLE,MOLM-16_COSMIC,MOLM-16_EGA,MOLM-16_GDC		MOLM16_CCLE,MOLM-16_COSMIC,MOLM-16_EGA,MOLM-16_GDC	MOLM16
MOLM-16_EGA	MOLM16	MOLM16_CCLE,MOLM-16_COSMIC,MOLM-16_EGA,MOLM-16_GDC		MOLM16_CCLE,MOLM-16_COSMIC,MOLM-16_EGA,MOLM-16_GDC	MOLM16
MOLM-16_GDC	MOLM16	MOLM16_CCLE,MOLM-16_COSMIC,MOLM-16_EGA,MOLM-16_GDC		MOLM16_CCLE,MOLM-16_COSMIC,MOLM-16_EGA,MOLM-16_GDC	MOLM16
MOLM6_CCLE	MOLM6	MOLM6_CCLE,MOLM-6_GDC		MOLM6_CCLE,MOLM-6_GDC	MOLM6
MOLM-6_GDC	MOLM6	MOLM6_CCLE,MOLM-6_GDC		MOLM6_CCLE,MOLM-6_GDC	MOLM6
MOLP2_CCLE	MOLP2	MOLP2_CCLE,MOLP-2_EGA,MOLP-2_GDC		MOLP2_CCLE,MOLP-2_EGA,MOLP-2_GDC	MOLP2
MOLP-2_EGA	MOLP2	MOLP2_CCLE,MOLP-2_EGA,MOLP-2_GDC		MOLP2_CCLE,MOLP-2_EGA,MOLP-2_GDC	MOLP2
MOLP-2_GDC	MOLP2	MOLP2_CCLE,MOLP-2_EGA,MOLP-2_GDC		MOLP2_CCLE,MOLP-2_EGA,MOLP-2_GDC	MOLP2
MOLP8_CCLE	MOLP8	MOLP8_CCLE,MOLP-8_COSMIC,MOLP-8_EGA,MOLP-8_GDC		MOLP8_CCLE,MOLP-8_COSMIC,MOLP-8_EGA,MOLP-8_GDC	MOLP8
MOLP-8_COSMIC	MOLP8	MOLP8_CCLE,MOLP-8_COSMIC,MOLP-8_EGA,MOLP-8_GDC		MOLP8_CCLE,MOLP-8_COSMIC,MOLP-8_EGA,MOLP-8_GDC	MOLP8
